/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_32_896.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_32_896.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_32_896.jpg,-0.007858456,0.4,0,10.36041
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_32_970.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_32_970.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_32_970.jpg,-0.007858456,0.4,0,10.66546
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_044.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_044.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_044.jpg,-0.007858456,0.4,0,10.89263
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_126.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_126.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_126.jpg,-0.007858456,0.4,0,11.19339
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_198.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_198.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_198.jpg,-0.007858456,0.4,0,11.10648
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_281.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_281.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_281.jpg,-0.01077665,0.4,0,11.89395
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_351.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_351.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_351.jpg,-0.01314338,0.4,0,11.75101
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_409.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_409.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_409.jpg,-0.01314338,0.4,0,12.19617
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_499.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_499.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_499.jpg,-0.01374081,0.4,0,12.49747
/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/center_2019_11_26_20_07_33_567.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/left_2019_11_26_20_07_33_567.jpg,/Users/llkoening/Documents/Udacity/Self-Driving Car Engineer/Behavioral cloning/training data/IMG/right_2019_11_26_20_07_33_567.jpg,-0.01493566,0.4,0,12.85943
